"Date","Value"
"12/31/1927",329.27
"01/31/1928",327.6
"02/29/1928",325.58
"03/31/1928",363.68
"04/30/1928",372.55
"05/31/1928",375.07
"06/30/1928",361.04
"07/31/1928",366.51
"08/31/1928",393.68
"09/29/1928",394.16
"10/31/1928",406.58
"11/30/1928",455.34
"12/31/1928",459.32
"01/31/1929",485.54
"02/28/1929",482.71
"03/28/1929",484.41
"04/30/1929",495.1
"05/31/1929",471.13
"06/29/1929",517.04
"07/31/1929",538.47
"08/30/1929",591.24
"09/30/1929",562.34
"10/31/1929",450.28
"11/27/1929",390.06
"12/31/1929",402.26
"01/31/1930",429.89
"02/28/1930",441.72
"03/31/1930",460.94
"04/30/1930",472.46
"05/29/1930",467.43
"06/30/1930",392.83
"07/31/1930",412.14
"08/29/1930",417.77
"09/30/1930",361.23
"10/31/1930",331.16
"11/29/1930",325.9
"12/31/1930",307.33
"01/31/1931",326.42
"02/28/1931",368.38
"03/31/1931",345.1
"04/30/1931",314.03
"05/29/1931",274.49
"06/30/1931",316.79
"07/31/1931",293.3
"08/31/1931",296.07
"09/30/1931",208.8
"10/31/1931",227.96
"11/30/1931",208.46
"12/31/1931",179.4
"01/30/1932",177.97
"02/29/1932",189.65
"03/31/1932",168.42
"04/30/1932",135.29
"05/31/1932",105.24
"06/30/1932",105.07
"07/30/1932",144.68
"08/31/1932",200.47
"09/30/1932",194.5
"10/31/1932",168.8
"11/30/1932",160.06
"12/31/1932",169.65
"01/31/1933",173.53
"02/28/1933",143.76
"03/31/1933",149.76
"04/29/1933",212.99
"05/31/1933",246.78
"06/30/1933",277.1
"07/31/1933",245
"08/31/1933",271
"09/30/1933",240.21
"10/31/1933",218.95
"11/29/1933",241.43
"12/30/1933",246.81
"01/31/1934",272.96
"02/28/1934",260.96
"03/31/1934",260.72
"04/30/1934",253.68
"05/31/1934",233.07
"06/30/1934",236.14
"07/31/1934",208.94
"08/31/1934",220.26
"09/29/1934",215.83
"10/31/1934",210.5
"11/30/1934",227.94
"12/31/1934",228.68
"01/31/1935",215.83
"02/28/1935",205.78
"03/30/1935",199.42
"04/30/1935",216.91
"05/31/1935",223.92
"06/29/1935",240.86
"07/31/1935",260.87
"08/31/1935",266.52
"09/30/1935",272.88
"10/31/1935",293.37
"11/30/1935",302.69
"12/31/1935",313.91
"01/31/1936",334.48
"02/29/1936",340.09
"03/31/1936",351.29
"04/30/1936",324.21
"05/29/1936",339.04
"06/30/1936",346.87
"07/31/1936",367.81
"08/31/1936",368.41
"09/30/1936",368.87
"10/31/1936",396.52
"11/30/1936",398.13
"12/31/1936",395.83
"01/30/1937",407.89
"02/27/1937",413.84
"03/31/1937",407.06
"04/30/1937",370.61
"05/28/1937",364.23
"06/30/1937",344.96
"07/31/1937",377.73
"08/31/1937",356.82
"09/30/1937",304
"10/30/1937",273.07
"11/30/1937",247.15
"12/31/1937",236.32
"01/31/1938",242.83
"02/28/1938",259.42
"03/31/1938",194.45
"04/30/1938",220.34
"05/31/1938",212.07
"06/30/1938",264.45
"07/30/1938",283.67
"08/31/1938",275.89
"09/30/1938",280.01
"10/31/1938",303.44
"11/30/1938",293.3
"12/31/1938",304.36
"01/31/1939",283.39
"02/28/1939",294.71
"03/31/1939",254.8
"04/29/1939",255.24
"05/31/1939",271.14
"06/30/1939",253.84
"07/31/1939",281.42
"08/31/1939",261.32
"09/30/1939",297.85
"10/31/1939",295.6
"11/30/1939",281.09
"12/30/1939",287.77
"01/31/1940",279.63
"02/29/1940",279.48
"03/30/1940",282.24
"04/30/1940",280.86
"05/31/1940",213.58
"06/29/1940",228.31
"07/31/1940",237.08
"08/31/1940",243.3
"09/30/1940",245.61
"10/31/1940",255.28
"11/30/1940",244.46
"12/31/1940",242.04
"01/31/1941",230.37
"02/28/1941",226.94
"03/31/1941",226.25
"04/30/1941",210
"05/31/1941",209.44
"06/30/1941",216.14
"07/31/1941",227.99
"08/30/1941",222.98
"09/30/1941",217.89
"10/31/1941",200.28
"11/29/1941",190.6
"12/31/1941",180.84
"01/31/1942",181
"02/28/1942",175.37
"03/31/1942",161.48
"04/30/1942",153.47
"05/29/1942",161.28
"06/30/1942",164.25
"07/31/1942",168.36
"08/31/1942",168.51
"09/30/1942",173.01
"10/31/1942",181.95
"11/30/1942",178.37
"12/31/1942",186.47
"01/30/1943",199.84
"02/27/1943",209.95
"03/31/1943",217.17
"04/30/1943",214.86
"05/29/1943",223.21
"06/30/1943",227.64
"07/31/1943",216.52
"08/31/1943",220.01
"09/30/1943",223.94
"10/30/1943",220.97
"11/30/1943",204.29
"12/31/1943",216.34
"01/31/1944",219.68
"02/29/1944",219.12
"03/31/1944",222.83
"04/29/1944",218.79
"05/31/1944",227.64
"06/30/1944",237.89
"07/31/1944",231.62
"08/31/1944",233.63
"09/30/1944",232.9
"10/31/1944",232.9
"11/30/1944",233.81
"12/30/1944",240.65
"01/31/1945",244.1
"02/28/1945",259.14
"03/31/1945",247.18
"04/30/1945",268.92
"05/31/1945",270.48
"06/30/1945",266.6
"07/31/1945",261.26
"08/31/1945",276.4
"09/29/1945",287.99
"10/31/1945",296.72
"11/30/1945",306.34
"12/31/1945",307.67
"01/31/1946",329.12
"02/28/1946",307.95
"03/30/1946",318.68
"04/30/1946",328.87
"05/31/1946",334.42
"06/28/1946",317.9
"07/31/1946",292.59
"08/30/1946",265.87
"09/30/1946",236.54
"10/31/1946",230.13
"11/30/1946",222.16
"12/31/1946",229.54
"01/31/1947",234.94
"02/28/1947",231.49
"03/31/1947",223.44
"04/30/1947",214.75
"05/29/1947",212.83
"06/30/1947",223.01
"07/31/1947",228.99
"08/29/1947",219.63
"09/30/1947",211.91
"10/31/1947",216.4
"11/29/1947",209.32
"12/31/1947",210.91
"01/31/1948",199.93
"02/28/1948",192.16
"03/31/1948",207.87
"04/30/1948",209.8
"05/28/1948",225.25
"06/30/1948",224.05
"07/30/1948",209.53
"08/31/1948",210.26
"09/30/1948",203.94
"10/30/1948",218.65
"11/30/1948",196.6
"12/31/1948",203.44
"01/31/1949",204.56
"02/28/1949",198.14
"03/31/1949",204.11
"04/30/1949",198.94
"05/31/1949",192.32
"06/30/1949",191.11
"07/29/1949",204.7
"08/31/1949",206.28
"09/30/1949",210.27
"10/31/1949",218.31
"11/30/1949",217.66
"12/31/1949",229.07
"01/31/1950",234.03
"02/28/1950",236.36
"03/31/1950",236.32
"04/29/1950",246.98
"05/31/1950",255.6
"06/30/1950",239.75
"07/31/1950",238.78
"08/31/1950",244.51
"09/29/1950",257.12
"10/31/1950",256.08
"11/30/1950",254.78
"12/30/1950",263.34
"01/31/1951",275.07
"02/28/1951",273.61
"03/31/1951",267.55
"04/30/1951",280.43
"05/31/1951",268.01
"06/29/1951",261.04
"07/31/1951",278.97
"08/31/1951",289.93
"09/28/1951",287.46
"10/31/1951",282.43
"11/30/1951",279.55
"12/31/1951",289.33
"01/31/1952",293.83
"02/29/1952",285.28
"03/31/1952",298.89
"04/30/1952",284.93
"05/29/1952",291.53
"06/30/1952",303.82
"07/31/1952",306.86
"08/29/1952",302.39
"09/30/1952",296.47
"10/31/1952",296.22
"11/28/1952",310
"12/31/1952",320.99
"01/30/1953",319.89
"02/27/1953",315.26
"03/31/1953",306.68
"04/30/1953",298.55
"05/29/1953",296.47
"06/30/1953",290.55
"07/31/1953",297.89
"08/31/1953",279.63
"09/30/1953",279.99
"10/30/1953",293.17
"11/30/1953",296.9
"12/31/1953",297.5
"01/29/1954",312.73
"02/26/1954",313.57
"03/31/1954",323.04
"04/30/1954",340.13
"05/28/1954",350.02
"06/30/1954",350.26
"07/30/1954",370.29
"08/31/1954",357.69
"09/30/1954",388.88
"10/29/1954",381.3
"11/30/1954",412.11
"12/31/1954",434.67
"01/31/1955",442.52
"02/28/1955",444.1
"03/31/1955",441.92
"04/29/1955",458.59
"05/31/1955",457.99
"06/30/1955",495.68
"07/29/1955",523.8
"08/31/1955",519.71
"09/30/1955",523.65
"10/31/1955",507.7
"11/30/1955",545.72
"12/30/1955",547.39
"01/31/1956",527.41
"02/29/1956",545.71
"03/29/1956",583.5
"04/30/1956",580.13
"05/31/1956",539.99
"06/29/1956",557.01
"07/31/1956",581.43
"08/31/1956",561.35
"09/28/1956",533.87
"10/31/1956",534.63
"11/30/1956",528.77
"12/31/1956",545.43
"01/31/1957",522.64
"02/28/1957",503.75
"03/29/1957",511.8
"04/30/1957",528.82
"05/31/1957",546.4
"06/28/1957",543.76
"07/31/1957",546.07
"08/30/1957",515.41
"09/30/1957",483.5
"10/31/1957",468
"11/29/1957",473.85
"12/31/1957",454.2
"01/31/1958",470.31
"02/28/1958",460.61
"03/31/1958",471.52
"04/30/1958",484.85
"05/29/1958",492.1
"06/30/1958",504.94
"07/31/1958",524.88
"08/29/1958",532.95
"09/30/1958",558.73
"10/31/1958",572.91
"11/28/1958",583.72
"12/31/1958",616.21
"01/30/1959",616.76
"02/27/1959",618.45
"03/31/1959",618.78
"04/30/1959",640.56
"05/29/1959",652.69
"06/30/1959",648.11
"07/31/1959",668.43
"08/31/1959",658.38
"09/30/1959",626.19
"10/30/1959",631.08
"11/30/1959",639.42
"12/31/1959",657.08
"01/29/1960",612.21
"02/29/1960",615.72
"03/31/1960",607.16
"04/29/1960",594.5
"05/31/1960",610.46
"06/30/1960",620.28
"07/29/1960",604.91
"08/31/1960",620.71
"09/30/1960",583.23
"10/31/1960",577.9
"11/30/1960",601.18
